name,url,created_at,updated_at,language,merged_pull_requests,releases,open_issues,closed_issues,closed_issues_percent
react-boilerplate/react-boilerplate,https://github.com/react-boilerplate/react-boilerplate,2015-02-18T14:36:32Z,2023-03-23T21:35:09Z,JavaScript,715,16,1909,1823,95.5
aosabook/500lines,https://github.com/aosabook/500lines,2013-11-04T02:02:53Z,2023-08-19T11:18:34Z,JavaScript,175,0,70,41,58.57
mantinedev/mantine,https://github.com/mantinedev/mantine,2021-01-07T14:02:19Z,2025-08-20T09:51:48Z,TypeScript,1490,271,3242,3219,99.29
pmndrs/react-three-fiber,https://github.com/pmndrs/react-three-fiber,2019-02-25T14:31:51Z,2025-08-20T04:39:19Z,TypeScript,651,125,1121,1040,92.77
encode/django-rest-framework,https://github.com/encode/django-rest-framework,2011-03-02T17:13:56Z,2025-08-16T07:10:06Z,Python,3020,21,3945,3887,98.53
heyverse/hey,https://github.com/heyverse/hey,2022-03-19T15:01:46Z,2025-08-20T11:50:23Z,TypeScript,3765,0,0,0,0.0
IanLunn/Hover,https://github.com/IanLunn/Hover,2014-01-02T14:27:35Z,2023-10-28T16:07:33Z,SCSS,23,10,107,83,77.57
tokio-rs/tokio,https://github.com/tokio-rs/tokio,2016-09-09T22:31:36Z,2025-08-19T11:42:56Z,Rust,3596,138,2520,2186,86.75
AllThingsSmitty/css-protips,https://github.com/AllThingsSmitty/css-protips,2015-08-29T12:29:03Z,2025-03-20T14:10:02Z,N/A,73,0,62,61,98.39
standard/standard,https://github.com/standard/standard,2015-01-27T01:23:31Z,2025-07-11T08:28:23Z,JavaScript,411,7,1232,1122,91.07
alibaba/canal,https://github.com/alibaba/canal,2013-01-13T10:59:52Z,2025-08-06T02:18:43Z,Java,473,32,4730,3571,75.5
GoogleChrome/lighthouse,https://github.com/GoogleChrome/lighthouse,2016-03-08T01:03:11Z,2025-08-13T19:28:55Z,JavaScript,5465,125,9181,8690,94.65
danny-avila/LibreChat,https://github.com/danny-avila/LibreChat,2023-02-12T01:06:52Z,2025-08-20T06:16:19Z,TypeScript,2128,58,3259,3099,95.09
hashicorp/consul,https://github.com/hashicorp/consul,2013-11-04T22:15:27Z,2025-08-20T10:23:08Z,Go,13730,217,5537,4270,77.12
ageron/handson-ml2,https://github.com/ageron/handson-ml2,2019-01-08T03:49:07Z,2024-06-13T08:10:24Z,Jupyter Notebook,64,0,517,300,58.03
xuxueli/xxl-job,https://github.com/xuxueli/xxl-job,2015-11-28T12:59:34Z,2025-07-19T19:52:57Z,Java,113,38,3232,3008,93.07
lukehoban/es6features,https://github.com/lukehoban/es6features,2014-03-03T18:29:30Z,2023-01-27T13:36:18Z,N/A,41,0,57,36,63.16
realpython/python-guide,https://github.com/realpython/python-guide,2011-03-15T03:24:20Z,2024-07-29T18:49:10Z,Batchfile,683,0,279,180,64.52
GorvGoyl/Clone-Wars,https://github.com/GorvGoyl/Clone-Wars,2020-12-02T11:10:16Z,2024-08-06T12:31:36Z,N/A,130,0,82,70,85.37
keycloak/keycloak,https://github.com/keycloak/keycloak,2013-07-02T13:38:51Z,2025-08-20T11:58:37Z,Java,17519,87,15236,13255,87.0
firecracker-microvm/firecracker,https://github.com/firecracker-microvm/firecracker,2017-10-19T06:18:47Z,2025-08-19T14:50:10Z,Rust,3183,78,1453,1401,96.42
spf13/viper,https://github.com/spf13/viper,2014-04-02T14:33:33Z,2025-08-16T07:30:22Z,Go,507,34,902,490,54.32
kodecocodes/swift-algorithm-club,https://github.com/kodecocodes/swift-algorithm-club,2016-01-26T17:56:12Z,2024-12-06T07:03:07Z,Swift,610,0,215,183,85.12
XIU2/TrackersListCollection,https://github.com/XIU2/TrackersListCollection,2019-10-03T15:55:07Z,2025-08-20T08:10:43Z,N/A,7,0,0,0,0.0
google-research/tuning_playbook,https://github.com/google-research/tuning_playbook,2023-01-18T23:32:32Z,2024-06-18T00:25:53Z,N/A,14,0,45,34,75.56
sampotts/plyr,https://github.com/sampotts/plyr,2015-02-14T11:33:07Z,2024-06-29T18:16:28Z,JavaScript,384,88,2103,1221,58.06
composer/composer,https://github.com/composer/composer,2011-06-08T08:53:00Z,2025-08-20T11:40:15Z,PHP,2946,214,7875,7754,98.46
refined-github/refined-github,https://github.com/refined-github/refined-github,2016-02-15T16:45:02Z,2025-08-12T05:14:20Z,TypeScript,3427,173,4512,4371,96.88
ajeetdsouza/zoxide,https://github.com/ajeetdsouza/zoxide,2020-03-05T13:11:40Z,2025-08-16T04:27:05Z,Rust,226,36,682,580,85.04
wuyouzhuguli/SpringAll,https://github.com/wuyouzhuguli/SpringAll,2018-05-02T02:48:44Z,2024-05-31T14:56:35Z,Java,1,0,48,27,56.25
meta-llama/llama3,https://github.com/meta-llama/llama3,2024-03-15T17:57:00Z,2025-01-26T21:39:06Z,Python,23,0,293,119,40.61
postcss/postcss,https://github.com/postcss/postcss,2013-09-24T23:06:48Z,2025-08-20T10:02:29Z,TypeScript,760,268,1025,998,97.37
pmndrs/react-spring,https://github.com/pmndrs/react-spring,2018-03-07T15:39:32Z,2025-08-19T14:49:20Z,TypeScript,437,52,1259,1143,90.79
